Model,RMSE,R2,Training Time,Non-zero Coefficients
Linear,0.787001330340569,0.20026781432057983,0.04528021812438965,77
SGD,79803027662.47726,-8.22303954324503e+21,0.012161493301391602,77
Ridge,0.7870878600385696,0.20009194577730283,0.011521100997924805,77
Lasso,0.7693152719483238,0.23580824176548176,0.007599353790283203,13
ElasticNet,0.7797949931960627,0.21484658021512792,0.012370586395263672,19
